,rule,"((0,), (1,), (2,))","((0,), (1,))","((0,), (2,))","((0,), (1, 2))","((0,),)","((1,), (2,))","((1,), (0, 2))","((2,), (0, 1))","((0, 1), (0, 2), (1, 2))","((0, 1), (0, 2))","((1,),)","((0, 1), (1, 2))","((0, 1),)","((2,),)","((0, 2), (1, 2))","((0, 2),)","((1, 2),)","((0, 1, 2),)"
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.1379253809700299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994
2,2,0.1379253809700299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994
3,3,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,0.0
4,4,0.1379253809700299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994
5,5,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0
6,6,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
7,7,0.04879494069539851,0.0,0.0,0.15563906222956647,0.3443609377704336,0.0,0.0,0.0,-2.7755575615628914e-17,0.15563906222956636,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.25
8,8,0.1379253809700299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994
9,9,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
10,10,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0
11,11,0.04879494069539851,0.0,0.0,0.15563906222956647,0.3443609377704336,0.0,0.0,0.0,-2.7755575615628914e-17,0.15563906222956636,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.25
12,12,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,0.0
13,13,0.04879494069539851,0.0,0.0,0.15563906222956642,0.34436093777043364,0.0,0.0,0.0,0.0,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
14,14,0.04879494069539851,0.0,0.0,0.15563906222956642,0.34436093777043364,0.0,0.0,0.0,0.0,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.1379253809700299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994
17,17,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
19,19,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,0.0,-2.7755575615628914e-17,0.0,0.3443609377704336,0.15563906222956636,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.25
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
21,21,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,-2.7755575615628914e-17,0.3443609377704336,0.15563906222956647,0.0,-1.1102230246251565e-16,0.2500000000000001
22,22,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.75
23,23,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
25,25,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.5,0.25
26,26,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,0.5,2.7755575615628914e-17,0.25
27,27,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
28,28,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,2.7755575615628914e-17,0.0,0.0,0.5,0.0,0.0,2.7755575615628914e-17,0.0,0.25
29,29,0.0,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
30,30,0.0,0.0,0.0,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
31,31,0.04879494069539851,0.0,0.0,0.15563906222956642,0.34436093777043364,0.0,0.0,0.0,0.0,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
32,32,0.1379253809700299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994
33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
34,34,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0
35,35,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,0.0,-2.7755575615628914e-17,0.0,0.3443609377704336,0.15563906222956636,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.25
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
37,37,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,0.5,2.7755575615628914e-17,0.25
